           Var. Name                       x0                        x                 Gradient
        BD_CDiag(10)       0.595960987517D+00       0.568037172582D+00       0.163897916606D+00
        BD_CDiag(11)       0.685957481160D+00       0.628815917868D+00       0.153367200064D+00
        BD_CDiag(12)       0.409580805219D+00       0.380581357549D+00      -0.537813974318D-01
        BD_CDiag(13)       0.745157679987D-03       0.597900284329D-01      -0.106462285478D+00
        BD_CDiag(14)       0.392230012912D+00       0.322665443588D+00      -0.161252294327D+00
        BD_CDiag(15)       0.320354879368D+00       0.269094710315D+00       0.726244441142D-01
        BD_CDiag(16)       0.492735783342D+00       0.414173771243D+00       0.185405600940D+00
        BD_CDiag(17)       0.316337661499D+00       0.315568150520D+00      -0.409084900232D-01
        BD_CDiag(18)       0.218961386060D+00       0.215029991082D+00      -0.247490223137D-02
        BD_CDiag(19)       0.914121080134D+00       0.867498479372D+00       0.291923177275D-01
        BD_CDiag(20)       0.822998855080D+00       0.788684122445D+00       0.825008190521D-01
        BD_CDiag(21)       0.225615649654D+00       0.236185474884D+00       0.767141545952D-01
        BD_CDiag(22)       0.210454349858D-01       0.336396612517D-01       0.847700422797D-02
        BD_CDiag(23)       0.185084380397D+00       0.162698655930D+00       0.443169182581D-01
        BD_CDiag(24)       0.175507674259D+00       0.176276120024D+00      -0.322743236110D-01
     BD_COffDiag(01)       0.000000000000D+00      -0.165354151728D-01      -0.896087716954D-05
     BD_COffDiag(02)       0.000000000000D+00      -0.165354306513D-01      -0.896081423414D-05
     BD_COffDiag(03)       0.000000000000D+00      -0.165354557630D-01      -0.896071981435D-05
     BD_COffDiag(04)       0.000000000000D+00      -0.165354363891D-01      -0.896040599036D-05
     BD_COffDiag(05)       0.000000000000D+00      -0.165354739278D-01      -0.896082955239D-05
     BD_COffDiag(06)       0.000000000000D+00      -0.165354896681D-01      -0.896062531705D-05
     BD_COffDiag(07)       0.000000000000D+00      -0.165353830500D-01      -0.896095595140D-05
     BD_COffDiag(08)       0.000000000000D+00      -0.165354867620D-01      -0.896076664031D-05
     BD_COffDiag(09)       0.000000000000D+00      -0.165354923204D-01      -0.896078229105D-05
     BD_COffDiag(10)       0.000000000000D+00      -0.165354427432D-01      -0.896095542519D-05
     BD_COffDiag(11)       0.000000000000D+00      -0.165354275082D-01      -0.896067296420D-05
     BD_COffDiag(12)       0.000000000000D+00      -0.165354835252D-01      -0.896053117277D-05
     BD_COffDiag(13)       0.000000000000D+00      -0.165354385905D-01      -0.896070426598D-05
     BD_COffDiag(14)       0.000000000000D+00      -0.165354394603D-01      -0.896087695544D-05
     BD_COffDiag(15)       0.000000000000D+00      -0.165354064737D-01      -0.896053185196D-05
     BD_COffDiag(16)       0.000000000000D+00      -0.165354876137D-01      -0.896082943175D-05
     BD_COffDiag(17)       0.000000000000D+00      -0.165354302016D-01      -0.896064154098D-05
     BD_COffDiag(18)       0.000000000000D+00      -0.165354479627D-01      -0.896081408154D-05
     BD_COffDiag(19)       0.000000000000D+00      -0.165354935330D-01      -0.896081367983D-05
     BD_COffDiag(20)       0.000000000000D+00      -0.165354176672D-01      -0.896051605356D-05
     BD_COffDiag(21)       0.000000000000D+00      -0.165354568785D-01      -0.896018601341D-05
     BD_COffDiag(22)       0.000000000000D+00      -0.165354740612D-01      -0.896100224833D-05
     BD_COffDiag(23)       0.000000000000D+00      -0.165354393875D-01      -0.896064146000D-05
        BC_CDiag(01)       0.435799591064D+00       0.786160582917D+00       0.375677269977D-01
        BC_CDiag(02)       0.799921687974D+00       0.789916182410D+00      -0.123835133653D+00
        BC_CDiag(03)       0.277631764687D+00       0.249974569134D+00       0.154736483191D+00
        BC_CDiag(04)       0.101304072781D+00       0.123251054418D-02       0.245401741011D+00
        BC_CDiag(05)       0.771625270026D-01       0.557287079920D-01      -0.597049824337D-01
        BC_CDiag(06)       0.731748598100D-01       0.815583508276D-01       0.170798997163D+00
        BC_CDiag(07)       0.315304396123D+00       0.295413931266D+00      -0.215070772674D-02
        BC_CDiag(08)       0.259337291571D+00       0.267672404401D+00       0.171444314717D-01
        BC_CDiag(09)       0.332201136543D+00       0.347521297119D+00      -0.462720219320D-02
        BC_CDiag(10)       0.216486317736D+00       0.213287082623D+00      -0.789059778296D-02
        BC_CDiag(11)       0.254129715437D+00       0.242455525327D+00      -0.537958201015D-02
        BC_CDiag(12)       0.356019810484D+00       0.340344206638D+00      -0.507448572081D-01
        BC_CDiag(13)       0.161662913720D+00       0.156894103722D+00       0.525785348459D-01
        BC_CDiag(14)       0.184712484092D+00       0.172221649004D+00       0.432790491775D-01
        BC_CDiag(15)       0.472281138887D+00       0.575475653022D+00       0.133791416172D-01
        BC_CDiag(16)       0.413610219809D+00       0.332597858773D+00      -0.146007940038D+00
        BC_CDiag(17)       0.799966493594D+00       0.797794553504D+00       0.862203308576D-01
        BC_CDiag(18)       0.687117004047D+00       0.574232447671D+00      -0.293084902654D-01
        BC_CDiag(19)       0.373459704719D+00       0.191291763581D+00       0.193043606607D+00
        BC_CDiag(20)       0.351505633092D+00       0.331708128199D+00       0.231712878074D+00
        BC_CDiag(21)       0.465272305943D+00       0.493711243271D+00      -0.182353136011D+00
        BC_CDiag(22)       0.172076707692D+00       0.137580927970D+00       0.447185559343D+00
        BC_CDiag(23)       0.502105950184D+00       0.427530762873D+00      -0.159637333135D+00
        BC_CDiag(24)       0.217648429407D+00       0.263621126927D+00      -0.223655508862D+00
        BC_CDiag(25)       0.389186505801D+00       0.367919226002D+00      -0.213161639057D-01
        BC_CDiag(26)       0.116407141194D+00       0.130967597995D+00       0.154559532215D+04
        BC_CDiag(27)       0.918777464826D-01       0.740896827696D-01       0.102729396440D+00
        BC_CDiag(28)       0.747771589266D+00       0.735289685327D+00      -0.179613488470D-01
        BC_CDiag(29)       0.452167984223D+00       0.519064955864D+00       0.154843583254D-01
        BC_CDiag(30)       0.101527379161D+00       0.151677767206D+00      -0.256743649124D-01
