model,K,J,nBC
   2,   5,  24,  86
 B(K x J)
   0.2334614564874375-309,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.2334614564796905-309,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.2334614564874375-309,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.1098397257773859-315,   0.2481869602693084-315,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.4047385770731492-319,   0.0000000000000000D+00,   0.4940656458412465-323,   0.0000000000000000D+00,                      NaN,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.5126570170000594-304,   0.2334614564796905-309,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.1097992519196786-315,   0.2481869602693084-315,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.5304989477413181-314,   0.1084105717275997-315,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.1097992519196786-315,   0.0000000000000000D+00,   0.2334613152118364-309,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.1097992667416480-315,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.4047385770731492-319,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.1390671161567001-308,   0.1665001226485001-320,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
 MUE(K x 1)
   0.1374808513013833D+01,  -0.2143460163481332D+00,   0.4380174730732714D+00,   0.1732306798793573D+01,   0.5000816491734349D+01
 CSIG(K x K)
   0.1744429933629809D+01,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.4629997465559007D+00,   0.9060894182767197D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
  -0.2105260154566114D+00,  -0.7146821023559152D-02,   0.1888283007527165D+01,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.2203920866362594D+00,   0.2839722114679276D-01,   0.1618739077644013D+00,   0.1419591807452989D+01,   0.0000000000000000D+00
  -0.1580859130115218D-01,   0.8915955261103793D-01,  -0.5845722289770158D+00,  -0.5603485410802198D+00,   0.1716179416221763D+01
dim_eta,BC_Z_DIM,BD_Z_DIM
   2,  23,  24
nBC_COffDiag,nBD_COffDiag,BC_lo,BC_hi
  85,  23,   0.1000000000000000D+00,   0.8500000000000000D+00
BC_BETA(BC_Z_DIM x 1)
   0.6474935626730000D+00,   0.1519109547730000D+01,   0.8540175766060000D+00,  -0.5162924537770000D-01,   0.1379109992590000D+00,  -0.6203822087210000D+00,  -0.5030275492460000D+00,  -0.1470178517490000D+01,  -0.1059228452870000D+01,  -0.9662070764539999D+00,  -0.2872883131070000D+01,   0.2277797478650000D+01,  -0.1400057318920000D+01,  -0.9063730772820000D+00,   0.4370674886490000D+00,  -0.1647466784930000D+01,  -0.1935600657590000D-01,   0.5007722153860000D+00,  -0.1619345529750000D+01,  -0.1221528982560000D+01,  -0.6931607959970000D+00,   0.1678317107030000D+00,   0.1547132354640000D-01
BD_BETA(BD_Z_DIM x 1)
  -0.4403665505910000D+00,  -0.1780364641190000D+01,  -0.6389169157800000D+00,  -0.1224093141030000D+01,   0.7618305688310000D+00,  -0.4689791423110000D+00,   0.3661843950860000D+00,   0.4952108549520000D+00,   0.1181438307320000D+01,  -0.2199490275470000D+00,   0.7696313989230000D+00,  -0.4445784058480000D+00,  -0.4242871402900000D+00,  -0.1231631267470000D+01,   0.2091035354180000D+00,   0.5848214995110000D+00,  -0.5040073366209999D+00,  -0.4307011823010000D+00,  -0.2645517920190000D+00,  -0.9101423650660000D+00,   0.1105147561880000D+01,   0.2803945497610000D+00,  -0.4983439115160000D+00,  -0.8239646421300000D-01
BC_C(nBC x dim_eta)
   0.4533803800160000D+00,   0.0000000000000000D+00
   0.4920791596827596D+00,   0.6307599389672026D+00
  -0.2534779269889906D+00,   0.1759109908863949D+00
   0.7042339271065617D-01,   0.1043491698121732D+00
  -0.8552230688296188D-01,   0.2804438409810590D-01
   0.3955186899426538D-01,   0.8228731767513689D-01
   0.2173395680421293D+00,   0.2302697920169710D+00
   0.1546938340750718D+00,   0.2092343543579509D+00
  -0.1417743817410577D+00,   0.3383603486988634D+00
  -0.1239792620595314D-01,   0.2181200218284324D+00
   0.8401919868783209D-01,   0.2407954146533412D+00
  -0.3045428130049312D+00,   0.1593174533909956D+00
  -0.7874516061977066D-01,   0.1612820750234351D+00
  -0.3190227258894434D-01,   0.1833664891233132D+00
  -0.4126230767868271D+00,   0.1340693288760109D+00
   0.3538049700491419D+00,   0.1050873924040617D+00
  -0.6200274091124859D+00,   0.5014616208352856D+00
  -0.4815881015659711D+00,   0.6260502352389279D+00
   0.1258144224400229D+00,   0.3944004966779949D+00
  -0.1133196368052155D+00,   0.3707007188845076D+00
   0.4954439048252409D+00,  -0.1275017207897219D+00
   0.1689400468794738D+00,   0.7050472534415766D-01
  -0.5770202420432146D-01,   0.5525678511456330D+00
  -0.1460867331819819D+00,   0.6449620208149442D-01
  -0.3901917998944271D+00,   0.1268618900609192D+00
   0.7616301548145064D-01,   0.5037990037337292D-01
  -0.1275475545334753D-01,   0.9173929388352378D-01
  -0.7543962677866262D-01,   0.7399869847268593D+00
   0.4006963556017957D+00,   0.2475280125338685D+00
   0.2977842668285121D-01,   0.1094835440112120D+00
   0.1425642769078139D+00,   0.1190258460711820D+00
  -0.6169978823928625D+00,   0.4336807954125014D+00
   0.7107150397602917D-01,   0.3428907538544901D+00
  -0.7608799951350287D-01,   0.3921507750047653D+00
   0.1923695682160855D+00,   0.1875528295494866D+00
  -0.7675513899014448D-01,   0.3009512733980508D+00
   0.1761864936343682D+00,   0.2130557754979015D+00
  -0.1555154840235881D+00,   0.2231494377016103D+00
  -0.1584283060544003D+00,   0.1869740921874397D+00
  -0.2194715891865109D+00,   0.1825810147001982D+00
  -0.3184423583791876D-02,   0.2781695170369743D+00
   0.2448192128470187D+00,   0.1354537440776794D+00
   0.2450939280677050D+00,   0.2649932883270275D+00
  -0.5854259914248933D+00,   0.2213940549187176D+00
   0.2275257190812514D+00,   0.2046237306505858D+00
  -0.5638273700650550D+00,   0.1835835957988141D+00
  -0.5272926089600692D-01,   0.2693780377621541D+00
  -0.8962193772990881D-01,   0.3592673584930316D-01
   0.4351132821217148D+00,   0.1759747289619410D+00
   0.2006963797189601D-01,   0.3497754003139985D+00
   0.2027974923896222D+00,   0.1086633392179072D+00
  -0.3828861404516171D+00,   0.2650381929312756D+00
   0.5564535743363055D+00,   0.9962435432733342D-01
  -0.5049484675259196D+00,   0.3596133858194120D+00
  -0.2221549079703910D+00,   0.1238622107497262D+00
  -0.2975089011375588D+00,   0.1333575124614567D+00
   0.2258340331526940D+00,   0.1414467818125722D+00
   0.5377666424787855D-01,   0.3117661839654787D+00
   0.1467781796801342D+00,   0.2254965228959644D+00
  -0.2436593737078683D+00,   0.2192075552751838D+00
   0.2827836434439785D-02,   0.9478697016108333D-01
  -0.2541047811243599D+00,   0.9525401736238008D-01
   0.1136220203805726D+00,   0.1055875317600498D+00
   0.1921164535452173D+00,   0.2659440343182753D+00
   0.3911041363456120D+00,   0.2706330302211570D+00
   0.1785102159830294D+00,   0.1191490717317565D+00
  -0.3019225308493843D+00,   0.1433866126681021D+00
  -0.1342557736171371D+00,   0.5434876529484096D+00
  -0.4468238021025878D-01,   0.3603885701077504D+00
   0.2600748086483061D+00,   0.8392132065733347D-01
  -0.8439604145328189D-01,   0.3674637799345117D-01
  -0.3597977840612105D-01,   0.8823021989586401D-01
   0.8581048305894613D-01,   0.2839924547691581D+00
  -0.1143654571085302D+00,   0.5890857595167767D+00
   0.2341949031679364D-01,   0.2268143178691715D+00
   0.2614894680215430D+00,   0.2266403786962677D+00
   0.2237565203345974D+00,   0.3168227288297337D+00
  -0.1110218582152732D-01,   0.5383533112253501D+00
   0.2050155715546516D+00,   0.2163605789914448D+00
   0.1791079158296733D+00,   0.2540474048960473D+00
   0.3084951262110193D-01,   0.2758898478454608D+00
   0.2496797362488193D+00,   0.1244206554137441D+00
  -0.2710818667234373D+00,   0.9447704947388640D-01
  -0.2709636749678619D+00,   0.1028269160905856D+00
   0.1545763020172826D-02,   0.3179680945312216D+00
  -0.3065965906700007D-02,   0.2920020356517960D+00
  BD_C(J x dim_eta)
   0.5229715091260000D-04,   0.0000000000000000D+00
   0.4515021509096614D+00,   0.8627126319389503D+00
  -0.8794780428517567D+00,   0.4306300636560932D+00
   0.2511845543473059D+00,   0.9604732936965704D+00
   0.6202841025400836D-01,   0.2124997013599464D-01
  -0.7697199988249386D-04,   0.6201750021038814D-04
   0.1869121795882703D+00,   0.3251156501489498D+00
   0.3279208615697147D+00,   0.1593080929797681D+00
  -0.2088778650342140D-01,   0.3475430514904731D+00
   0.5713912485051563D+00,  -0.1164044041379683D+00
   0.3848117199913295D+00,   0.5707568932877498D+00
  -0.3409072858149573D+00,   0.1124133276051453D+00
  -0.1539104876301429D-02,   0.5110774490538780D-03
  -0.8586594487214287D-01,   0.3323929814736846D+00
   0.3382830094733608D+00,   0.9786105784410663D-01
   0.3632118268331901D+00,   0.3760894433388242D+00
   0.1443132422673267D+00,   0.2822342988680175D+00
  -0.1798367869482946D+00,   0.1266151034209096D+00
