           Var. Name                       x0                        x                 Gradient
         BD_beta(01)      -0.344480610620D+00      -0.344480610620D+00      -0.302505778719D+00
         BD_beta(02)       0.113873140857D+01       0.113873140857D+01       0.928876883409D-01
         BD_beta(03)       0.109796082622D+01       0.109796082622D+01      -0.164591579728D+00
         BD_beta(04)       0.235665088722D+01       0.235665088722D+01      -0.242030588326D+00
         BD_beta(05)       0.598448938516D+00       0.598448938516D+00      -0.336077345029D-01
         BD_beta(06)      -0.513206085125D+00      -0.513206085125D+00      -0.267604305033D-01
         BD_beta(07)       0.125793441642D+01       0.125793441642D+01       0.262067372361D+00
         BD_beta(08)       0.977205860067D+00       0.977205860067D+00      -0.795682297827D+01
         BD_beta(09)       0.158943502111D+01       0.158943502111D+01      -0.441072992503D+00
         BD_beta(10)      -0.102488760655D+01      -0.102488760655D+01      -0.735847305488D-01
         BD_beta(11)      -0.282301415696D+00      -0.282301415696D+00       0.221059522425D-03
         BD_beta(12)       0.829531180703D+00       0.829531180703D+00       0.169710847675D+00
         BD_beta(13)      -0.102105349932D+01      -0.102105349932D+01      -0.701340274231D-02
         BD_beta(14)      -0.253149387942D+01      -0.253149387942D+01       0.814397203974D-03
         BD_beta(15)      -0.133400130876D+00      -0.133400130876D+00       0.315114167663D-01
         BD_beta(16)       0.280922686951D+00       0.280922686951D+00       0.163546720316D-01
         BD_beta(17)       0.300614007884D+00       0.300614007884D+00      -0.347223162603D-01
         BD_beta(18)       0.962014092951D+00       0.962014092951D+00      -0.165699786152D+00
         BD_beta(19)      -0.186893301031D+01      -0.186893301031D+01      -0.551863885808D-02
         BD_beta(20)      -0.135783171447D+01      -0.135783171447D+01      -0.288758133395D-01
         BD_beta(21)      -0.884746011317D-01      -0.884746011317D-01      -0.261440033972D-01
         BD_beta(22)       0.487643807368D+00       0.487643807368D+00      -0.178125184504D+00
         BD_beta(23)      -0.143705863230D+01      -0.143705863230D+01       0.226064500894D-01
         BD_beta(24)      -0.811927789993D-01      -0.811927789993D-01       0.676754210005D-01
         BD_beta(25)      -0.191289347663D+01      -0.191289347663D+01      -0.518802139501D-01
         BD_beta(26)      -0.128340150349D+01      -0.128340150349D+01       0.661729764611D-01
         BD_beta(27)       0.134219755375D+01       0.134219755375D+01      -0.167749918685D-01
         BC_beta(01)       0.499634318977D+01       0.499634318977D+01      -0.105300437073D-03
         BC_beta(02)      -0.101237012880D+01      -0.101237012880D+01       0.127203657332D+00
         BC_beta(03)       0.214187189146D+01       0.214187189146D+01      -0.814510895519D-01
         BC_beta(04)       0.141303622383D+01       0.141303622383D+01      -0.920312387530D-01
         BC_beta(05)      -0.827224991526D+00      -0.827224991526D+00      -0.122937786517D+00
         BC_beta(06)       0.514435899924D+00       0.514435899924D+00       0.277603685719D+00
         BC_beta(07)       0.348493714471D+01       0.348493714471D+01      -0.276619990036D-02
         BC_beta(08)       0.257691717389D+01       0.257691717389D+01       0.248291313711D-02
