                       q0,                     q01 ,                     q02 ,                     q03 ,                     q04 ,                     q05 ,                       p0,                     p01 ,                     p02 ,                     p03 ,                     p04 ,                     p05 
   0.1268228810463131E-02,   0.8921985716228126E-03,   0.9951547105686714E-03,   0.1253589654280901E-02,   0.1643713633074937E-02,   0.1153294546485875E-02,    3.438059471870826    ,    4.125671366242043    ,    3.662220949434186    ,    3.438059471868368    ,    3.094253524681532    ,    3.514040586196660    
   0.2292272008073025E-01,   0.1771712852985416E-01,   0.2324926010384487E-01,   0.2263309569278164E-01,   0.2619648746766056E-01,   0.2236431128258026E-01,    4.297553565169465    ,    5.157064278206549    ,    4.380496348979946    ,    4.297553565172124    ,    3.867798208654912    ,    4.371901241849602    
   0.5361951734548449    ,   0.4927511284173809    ,   0.5467347640663619    ,   0.5392307622191174    ,   0.5591182287925801    ,   0.5327426649600491    ,    2.550212033633737    ,    3.060254440359057    ,    2.550212033632547    ,    2.550212033632547    ,    2.295190830269293    ,    2.589995341357215    
   0.2631172533519066    ,   0.2474651965619286    ,   0.2596852297205667    ,   0.2532547953310589    ,   0.2714031946819290    ,   0.2612964268260413    ,    7.489362739560296    ,    8.987235287465113    ,    7.754486180534482    ,    7.811405337355093    ,    6.740426465598834    ,    7.620426587496461    
   0.1251058025826043E-01,   0.9584197550068757E-02,   0.1220410395920482E-01,   0.1158794566566940E-01,   0.1437567315638238E-01,   0.1233548742008523E-01,    7.097763533104173    ,    8.517316239727682    ,    7.344055927705193    ,    7.232621040235423    ,    6.387987179795761    ,    7.200681104336444    
   0.1534438381249279E-01,   0.1310823019266465E-01,   0.1621812453347261E-01,   0.1456874571786397E-01,   0.1648312864114041E-01,   0.1541824905857844E-01,    1.544716502330306    ,    1.853659802796733    ,    1.545488860581776    ,    1.544716502330611    ,    1.390244852097550    ,    1.561399440555781    
   0.6348037772131607    ,   0.5883881095505650    ,   0.6353501442296283    ,   0.6330099719548351    ,   0.6599807348227765    ,   0.6309828319083712    ,    4.914556836143733    ,    5.897468203379319    ,    5.055113161663306    ,    4.990241011426133    ,    4.423101152534489    ,    4.996138479629512    
   0.5069159590657339    ,   0.4439904126905227    ,   0.4944227263068636    ,   0.5109968774504658    ,   0.5419704795767978    ,   0.5009527580189149    ,    5.280373067366996    ,    6.336447680836311    ,    5.504260885419809    ,    5.280373067363593    ,    4.752335760627234    ,    5.370667446815510    
   0.3652594261391087    ,   0.3037137074399751    ,   0.3540308095017231    ,   0.3719539441584983    ,   0.3992253042234551    ,   0.3607466984195835    ,    5.843025809329601    ,    7.011630971194333    ,    6.041104384264851    ,    5.847700229976073    ,    5.258723228395750    ,    5.928333986144809    
   0.1102269310221151E-01,   0.8730169240816443E-02,   0.1140777001978647E-01,   0.1099610754688164E-01,   0.1229528643796609E-01,   0.1074598904523888E-01,    2.387366537616928    ,    2.864839845139283    ,    2.408136626493329    ,    2.387366537616069    ,    2.148629883854462    ,    2.429145452024351    
   0.9278477383982346E-01,   0.7459481706172452E-01,   0.8208080233166623E-01,   0.9278161607083320E-01,   0.1042186428849985    ,   0.9121661714413226E-01,    4.838129211997805    ,    5.805755054401756    ,    5.159864804599561    ,    4.838129212001464    ,    4.354316290801318    ,    4.913120214787487    
   0.6681768460472115E-01,   0.5321870033662624E-01,   0.6029100384715284E-01,   0.6799076257545419E-01,   0.7586334060194999E-01,   0.6529536245465159E-01,    4.409088360641220    ,    5.290906032768580    ,    4.638801864229853    ,    4.409088360640483    ,    3.968179524576436    ,    4.484042862771372    
   0.8374367777641787E-02,   0.5571018473039972E-02,   0.7822136629342427E-02,   0.8404243019914078E-02,   0.1015359344214560E-01,   0.7987435790860047E-02,    2.892879240277575    ,    3.471455088330495    ,    2.958547599029664    ,    2.892879240275412    ,    2.603591316247871    ,    2.948133233764672    
   0.8968050799354273E-03,   0.4269498301845478E-03,   0.1002526314289485E-02,   0.9248393028390079E-03,   0.1227482537840422E-02,   0.8638324763795094E-03,    1.365122625315431    ,    1.638147150377392    ,    1.365122625314493    ,    1.365122625314493    ,    1.228610362783044    ,    1.384234342068896    
   0.1904677738865132E-01,   0.1136042380699896E-01,   0.2163571528314146E-01,   0.1895646716448776E-01,   0.2408775969420955E-01,   0.1853269169886137E-01,    3.867893295445615    ,    4.641471954537756    ,    3.867893295448130    ,    3.867893295448130    ,    3.481103965903317    ,    3.921270222925314    
   0.3365371053597922    ,   0.2583240308276477    ,   0.3344764045093892    ,   0.3341825772355909    ,   0.3832103064010934    ,   0.3299644613473116    ,    2.595987723084082    ,    3.115185267698381    ,    2.642975100869768    ,    2.595987723081984    ,    2.336388950773786    ,    2.635187137700521    
   0.4589258774340427E-01,   0.3173007304784070E-01,   0.4037330419865481E-01,   0.4651338009792864E-01,   0.5484205030054719E-01,   0.4408045644023739E-01,    4.173335759800897    ,    5.008002911765991    ,    4.422066571089371    ,    4.173335759804992    ,    3.756002183824493    ,    4.253046472817267    
   0.1575107743284603    ,   0.1210058559840288    ,   0.1523846255597318    ,   0.1578970103215705    ,   0.1780250115799629    ,   0.1540465275622079    ,    4.937775369286783    ,    5.925330443149347    ,    5.079983299926706    ,    4.937775369291122    ,    4.443997832362011    ,    5.019742440421355    
   0.3254284764221438E-02,   0.2339666110461443E-02,   0.3492094579509003E-02,   0.3339662950065386E-02,   0.3870852841224695E-02,   0.3160861929806161E-02,    1.800175564752631    ,    2.160210677703287    ,    1.800175564752739    ,    1.800175564752739    ,    1.620158008277465    ,    1.827358215780506    
   0.4463693802052388E-03,   0.3765731990357414E-03,   0.5401018259811041E-03,   0.5491280176747502E-03,   0.5207041366386921E-03,   0.4381181992847590E-03,    1.219646636041822    ,    1.463575963248696    ,    1.219646636040580    ,    1.219646636040580    ,    1.097681972436522    ,    1.237697406253981    
   0.1157022216347677    ,   0.8959754348432100E-01,   0.8492505463539965E-01,   0.1184410691487670    ,   0.1318239813521209    ,   0.1136094785417770    ,    2.568816769301765    ,    3.082580123161602    ,    2.799239633507665    ,    2.568816769301335    ,    2.311935092371202    ,    2.608376547548576    
   0.2730031692731870    ,   0.2292437512856065    ,   0.2529325124767355    ,   0.2631549530125442    ,   0.2959547555957691    ,   0.2698789490325120    ,    4.984751078726338    ,    5.981701294476784    ,    5.241465759285282    ,    5.061516245343105    ,    4.486275970857588    ,    5.064008620882471    
   0.7842221987613103E-01,   0.6229531696608834E-01,   0.8227437101778229E-01,   0.7947346019029872E-01,   0.8840711578331713E-01,   0.7777196277443708E-01,    2.484351658156061    ,    2.981221989789129    ,    2.484351658157607    ,    2.484351658157607    ,    2.235916492341846    ,    2.514660748387130    
   0.1572668582135510    ,   0.1353830344033870    ,   0.1550116866373577    ,   0.1560299950707139    ,   0.1701652992459479    ,   0.1553135071285283    ,    4.646318411816884    ,    5.575582094173718    ,    4.794535969148217    ,    4.658398839682141    ,    4.181686570630289    ,    4.721124138241596    
   0.3532587853351783E-02,   0.1965863982091012E-02,   0.3102090100922935E-02,   0.3556519122167662E-02,   0.4915636477797504E-02,   0.3411969370260305E-02,    3.272915371734951    ,    3.927498446079860    ,    3.394340532024518    ,    3.272915371733216    ,    2.945623834559895    ,    3.310226606970975    
   0.2558340594572094E-02,   0.1027533383388461E-02,   0.2783074388261779E-02,   0.1110633859538594E-02,   0.4007560962205694E-02,   0.2366663327787549E-02,    2.508798656666280    ,    3.010558387998243    ,    2.511558335187535    ,    2.756417084078058    ,    2.257918790998683    ,    2.553455272753843    
   0.8283105390168891E-02,   0.6412890378343793E-02,   0.9557301752688841E-02,   0.8491114999345564E-02,   0.9331449320131222E-02,   0.8072891187182647E-02,    8.274822980444146    ,    9.929787576542857    ,    8.316197095354642    ,    8.274822980452381    ,    7.447340682407143    ,    8.415494971120070    
