   3,     BD_COffDiag(03),   4,   0.5741531401388242D+00,   0.7684747007153708D+01
   3,     BD_COffDiag(03),   5,   0.6608177650654392D+00,   0.7655209549527395D+01
   3,     BD_COffDiag(03),   6,   0.7474823899920542D+00,   0.7630599319319766D+01
   3,     BD_COffDiag(03),   7,   0.8341470149186692D+00,   0.7602675307677962D+01
   3,     BD_COffDiag(03),   8,   0.9208116398452841D+00,   0.7580753073609436D+01
   3,     BD_COffDiag(03),   9,   0.1007476264771899D+01,   0.7560998578690231D+01
   3,     BD_COffDiag(03),  10,   0.1094140889698514D+01,   0.7545405881770239D+01
   3,     BD_COffDiag(03),  11,   0.1180805514625129D+01,   0.7524625191224696D+01
   3,     BD_COffDiag(03),  12,   0.1267470139551744D+01,   0.7514427552135069D+01
   3,     BD_COffDiag(03),  13,   0.1354134764478359D+01,   0.7485373794062968D+01
   3,     BD_COffDiag(03),  14,   0.1440799389404974D+01,   0.7478929111239817D+01
   3,     BD_COffDiag(03),  15,   0.1527464014331589D+01,   0.7464229021806094D+01
   3,     BD_COffDiag(03),  16,   0.1614128639258204D+01,   0.7451599158929917D+01
   3,     BD_COffDiag(03),  17,   0.1700793264184819D+01,   0.7441481513034470D+01
   3,     BD_COffDiag(03),  18,   0.1787457889111434D+01,   0.7442374985918121D+01
   3,     BD_COffDiag(03),  19,   0.1874122514038049D+01,   0.7436117121935332D+01
   3,     BD_COffDiag(03),  20,   0.1960787138964664D+01,   0.7424130283033882D+01
   3,     BD_COffDiag(03),  21,   0.2047451763891279D+01,   0.7426488988036861D+01
   3,     BD_COffDiag(03),  22,   0.2134116388817894D+01,   0.7429089567596899D+01
   3,     BD_COffDiag(03),  23,   0.2220781013744509D+01,   0.7437173435050719D+01
   3,     BD_COffDiag(03),  24,   0.2307445638671124D+01,   0.7431931644844763D+01
   3,     BD_COffDiag(03),  25,   0.2394110263597740D+01,   0.7442088821126977D+01
   3,     BD_COffDiag(03),  26,   0.2480774888524355D+01,   0.7428496024452472D+01
   3,     BD_COffDiag(03),  27,   0.2567439513450970D+01,   0.7421253243565195D+01
   3,     BD_COffDiag(03),  28,   0.2654104138377585D+01,   0.7413415829723012D+01
   3,     BD_COffDiag(03),  29,   0.2740768763304200D+01,   0.7420367876747108D+01
   3,     BD_COffDiag(03),  30,   0.2827433388230814D+01,   0.7395222195408358D+01
   4,     BD_COffDiag(04),   1,   0.3141592653589793D+00,   0.7378640348951728D+01
   4,     BD_COffDiag(04),   2,   0.4008238902855943D+00,   0.7373215877673540D+01
   4,     BD_COffDiag(04),   3,   0.4874885152122093D+00,   0.7370741110545143D+01
   4,     BD_COffDiag(04),   4,   0.5741531401388242D+00,   0.7370600789732912D+01
