 1, 1, 1, -0.6745    , -0.6745    , 4,  7,  9, 18, 22,  0,   1.326    ,  0.6375E-01,  0.5441    ,  0.3913    ,   0.000    ,   1.824    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 2, 1, 1,   0.000    , -0.6745    , 4,  3,  9, 17, 18,  0,  0.2444    ,  0.3641    ,   1.494    ,  0.2934    ,   0.000    ,   1.824    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 3, 1, 1,  0.6745    , -0.6745    , 3,  3,  9, 16,  0,  0,  0.7656    ,  0.5444    ,  0.4100    ,   0.000    ,   0.000    ,   1.824    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 4, 1, 1, -0.6745    ,   0.000    , 3,  2,  7, 18,  0,  0,  0.7452E-01,   1.729    ,  0.1295    ,   0.000    ,   0.000    ,   1.824    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 5, 1, 1,   0.000    ,   0.000    , 4,  3,  9, 17, 27,  0,  0.3035    ,  0.8609E-01,   2.117    ,  0.3395    ,   0.000    ,   1.824    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 6, 1, 1,  0.6745    ,   0.000    , 4,  3,  4, 17, 27,  0,  0.6366    ,  0.2382    ,  0.8889    ,  0.2619    ,   0.000    ,   1.824    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 7, 1, 1, -0.6745    ,  0.6745    , 3,  2,  7, 12,  0,  0,  0.3775E-01,   1.357    ,  0.2831    ,   0.000    ,   0.000    ,   1.824    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 8, 1, 1,   0.000    ,  0.6745    , 4,  3,  4,  7, 17,  0,  0.9334E-01,  0.2273    ,   1.220    ,  0.6900    ,   0.000    ,   1.824    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 9, 1, 1,  0.6745    ,  0.6745    , 5,  2,  3,  4,  7, 17,  0.1439    ,  0.2539    ,  0.5729    ,   1.216    ,  0.1564    ,   1.824    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 1, 1, 2, -0.6745    , -0.6745    , 4,  7,  9, 18, 22,  0,   1.326    ,  0.6375E-01,  0.5441    ,  0.3913    ,   0.000    ,   2.013    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 2, 1, 2,   0.000    , -0.6745    , 4,  3,  9, 17, 18,  0,  0.2444    ,  0.3641    ,   1.494    ,  0.2934    ,   0.000    ,   2.013    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 3, 1, 2,  0.6745    , -0.6745    , 3,  3,  9, 16,  0,  0,  0.7656    ,  0.5444    ,  0.4100    ,   0.000    ,   0.000    ,   2.013    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 4, 1, 2, -0.6745    ,   0.000    , 3,  2,  7, 18,  0,  0,  0.7452E-01,   1.729    ,  0.1295    ,   0.000    ,   0.000    ,   2.013    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 5, 1, 2,   0.000    ,   0.000    , 4,  3,  9, 17, 27,  0,  0.3035    ,  0.8609E-01,   2.117    ,  0.3395    ,   0.000    ,   2.013    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 6, 1, 2,  0.6745    ,   0.000    , 4,  3,  4, 17, 27,  0,  0.6366    ,  0.2382    ,  0.8889    ,  0.2619    ,   0.000    ,   2.013    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 7, 1, 2, -0.6745    ,  0.6745    , 3,  2,  7, 12,  0,  0,  0.3775E-01,   1.357    ,  0.2831    ,   0.000    ,   0.000    ,   2.013    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 8, 1, 2,   0.000    ,  0.6745    , 4,  3,  4,  7, 17,  0,  0.9334E-01,  0.2273    ,   1.220    ,  0.6900    ,   0.000    ,   2.013    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 9, 1, 2,  0.6745    ,  0.6745    , 5,  2,  3,  4,  7, 17,  0.1439    ,  0.2539    ,  0.5729    ,   1.216    ,  0.1564    ,   2.013    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 1, 1, 3, -0.6745    , -0.6745    , 4,  7,  9, 18, 22,  0,   1.326    ,  0.6375E-01,  0.5441    ,  0.3913    ,   0.000    ,   2.201    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 2, 1, 3,   0.000    , -0.6745    , 4,  3,  9, 17, 18,  0,  0.2444    ,  0.3641    ,   1.494    ,  0.2934    ,   0.000    ,   2.201    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 3, 1, 3,  0.6745    , -0.6745    , 3,  3,  9, 16,  0,  0,  0.7656    ,  0.5444    ,  0.4100    ,   0.000    ,   0.000    ,   2.201    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
 4, 1, 3, -0.6745    ,   0.000    , 3,  2,  7, 18,  0,  0,  0.7452E-01,   1.729    ,  0.1295    ,   0.000    ,   0.000    ,   2.201    ,   4.397    ,   2.658    ,   7.809    ,   7.116    ,   1.553    ,   7.612    ,   3.376    ,   6.142    ,  0.8858    ,   5.146    ,   5.713    ,   1.692    ,  0.7791    ,   5.170    ,   2.896    ,   5.973    ,   5.840    ,  0.9965    ,   1.325    ,   3.864    ,   3.284    ,   3.187    ,   4.747    ,   3.290    ,   1.717    ,   9.766    
