                       q0,                     q01 ,                     q02 ,                     q03 ,                     q04 ,                     q05 ,                       p0,                     p01 ,                     p02 ,                     p03 ,                     p04 ,                     p05 
   0.8277235678223964E-01,   0.5930776892167047E-01,   0.7136289669018747E-01,   0.8267197241664358E-01,   0.9988011375317062E-01,   0.7866764535224216E-01,    3.648189892664640    ,    4.377827871195116    ,    3.886051873664198    ,    3.648189892662597    ,    3.283370903396337    ,    3.728814889290441    
   0.1608886977620158E-01,   0.1139129800445575E-01,   0.1582394460543545E-01,   0.1551497124809269E-01,   0.1911229818469061E-01,   0.1559164968994111E-01,    4.397147385075762    ,    5.276576862087476    ,    4.482012329604804    ,    4.397147385072897    ,    3.957432646565607    ,    4.473218034834658    
   0.5885042736370114    ,   0.5436283068551646    ,   0.6079764218170677    ,   0.5948785097031425    ,   0.6139977931986914    ,   0.5855484553895453    ,    2.657967599699786    ,    3.189561119638913    ,    2.657967599699094    ,    2.657967599699094    ,    2.392170839729185    ,    2.699431894254400    
   0.1885070472844881    ,   0.1785018524710627    ,   0.1852833479458696    ,   0.1825484934995476    ,   0.1933501813238879    ,   0.1874111334893464    ,    7.809058358640841    ,    9.370870030365888    ,    8.085499024534034    ,    8.144847868059683    ,    7.028152522774416    ,    7.945716879914410    
   0.1744440035732012E-02,   0.7366756014313346E-03,   0.1552310874612138E-02,   0.1597811032787597E-02,   0.2658348498948542E-02,   0.1644328611702854E-02,    7.116398358097693    ,    8.539678029718381    ,    7.363337381124674    ,    7.251609926902524    ,    6.404758522288786    ,    7.219586134291081    
   0.9812831352150315E-02,   0.6136638787295333E-02,   0.9910369494075318E-02,   0.9186982668484681E-02,   0.1239790574062100E-01,   0.9556677163665770E-02,    1.552765100539355    ,    1.863318120647441    ,    1.553541483089804    ,    1.552765100539535    ,    1.397488590485581    ,    1.569534963625361    
   0.7204102610168056    ,   0.6475101869171697    ,   0.7123134471233106    ,   0.7093260519294760    ,   0.7580654597474413    ,   0.7142167430879640    ,    7.612222309784258    ,    9.134666771735562    ,    7.829931867839333    ,    7.729450533350243    ,    6.851000078801673    ,    7.738585200121977    
   0.1179556698953921    ,   0.9909439755545292E-01,   0.1081081481516626    ,   0.1188054418464279    ,   0.1288113513033111    ,   0.1158347922894537    ,    3.376293132130541    ,    4.051551758555528    ,    3.519447960931902    ,    3.376293132129606    ,    3.038663818916646    ,    3.434027744689022    
   0.2787736556732864    ,   0.2267265278729444    ,   0.2678692489664086    ,   0.2813427233477562    ,   0.3094965023366245    ,   0.2747478221178400    ,    6.142438866713780    ,    7.370926640055723    ,    6.350667544294677    ,    6.147352817806472    ,    5.528194980041793    ,    6.232118474167113    
   0.2164592441011363E-01,   0.1607926059903955E-01,   0.2341298463317292E-01,   0.2132811155367111E-01,   0.2612642921601675E-01,   0.2093317123187561E-01,   0.8857835941506410    ,    1.062940312980258    ,   0.8934899114193215    ,   0.8857835941502148    ,   0.7972052347351933    ,   0.9012848070478436    
   0.1585112623954213    ,   0.1299341664361868    ,   0.1386919868419607    ,   0.1579138209643619    ,   0.1770806373265507    ,   0.1557872297346427    ,    5.145896622667284    ,    6.175075947198191    ,    5.488098748072392    ,    5.145896622665159    ,    4.631306960398644    ,    5.225658020316470    
   0.1110694096168518    ,   0.8455637051858110E-01,   0.1011247074183374    ,   0.1132436586330082    ,   0.1285730183310218    ,   0.1083191407025608    ,    5.712621208187339    ,    6.855145449828070    ,    6.010248773136761    ,    5.712621208190058    ,    5.141359087371053    ,    5.809735768729289    
   0.1113031991843848E-01,   0.4423899047963900E-02,   0.1006155789159816E-01,   0.1118101390692912E-01,   0.1813187598113940E-01,   0.1017898786021787E-01,    1.691639360302858    ,    2.029967232362983    ,    1.730039573781353    ,    1.691639360302486    ,    1.522475424272238    ,    1.723949672084264    
   0.1102894196723770E-03,   0.9773856914114406E-04,   0.1077335861650779E-03,   0.1011907438408566E-03,   0.1397837679701458E-03,   0.1073639947568017E-03,   0.7791307801161746    ,   0.9349569361394915    ,   0.7791307801162429    ,   0.7791307801162429    ,   0.7012177021046186    ,   0.7900386110378703    
   0.7239945397554109E-01,   0.4438870596185546E-01,   0.8233393379822196E-01,   0.7395927212394333E-01,   0.8997617204958148E-01,   0.7106877913032318E-01,    5.170303454555704    ,    6.204364145464535    ,    5.170303454553779    ,    5.170303454553779    ,    4.653273109098401    ,    5.241653642226622    
   0.1041088730097325    ,   0.5651653727471866E-01,   0.1032090990971603    ,   0.1044499336995053    ,   0.1391210775433164    ,   0.9981430623223722E-01,    2.896277051010108    ,    3.475532461213441    ,    2.948699665634503    ,    2.896277051011201    ,    2.606649345910081    ,    2.940010834481469    
   0.1110682216147515    ,   0.8203222134904713E-01,   0.9149103503481251E-01,   0.1144683182026525    ,   0.1298359286563425    ,   0.1069968011790766    ,    5.972699144999984    ,    7.167238974000747    ,    6.328672014042660    ,    5.972699145000623    ,    5.375429230500560    ,    6.086777698670134    
   0.1000445891168538    ,   0.6211316213710816E-01,   0.9233656737611966E-01,   0.1000220451180339    ,   0.1252212462481647    ,   0.9607462533331296E-01,    5.840375015431831    ,    7.008450018513441    ,    6.008577815872190    ,    5.840375015427868    ,    5.256337513885081    ,    5.937325240683970    
   0.2136074391321308E-03,   0.1719761276278376E-03,   0.2039953538465747E-03,   0.2268792494155886E-03,   0.3270410781461860E-03,   0.1981888242697589E-03,   0.9965024965090508    ,    1.195802995811307    ,   0.9965024965094221    ,   0.9965024965094221    ,   0.8968522468584800    ,    1.011549684206714    
